HDI,LifeExpectancy, MeanYearsofEducation,GNIcapita
0.944,81.6,12.6,64992
0.935,82.4,13,42261
0.93,83,12.8,56431
0.923,80.2,12.7,44025
0.922,81.6,11.9,45435
0.916,80.9,13.1,43919
0.916,80.9,12.2,39568
0.915,79.1,12.9,52947
0.913,82,13,42155
0.913,81.8,12.5,32689
0.912,83,10.6,76628
0.91,84,11.2,53959
0.908,80,11.8,79851
0.907,82.2,12.1,45636
0.907,80.7,13.1,39267
0.899,82.6,10.6,35182
0.898,81.9,11.9,33890
0.894,82.4,12.5,30676
0.892,81.7,11.7,58711
0.891,83.5,11.5,36927
0.89,80.8,11.3,41187
0.888,82.2,11.1,38056
0.885,81.4,10.8,43869
0.883,80.8,10.3,38695
0.88,80.4,11.9,27852
0.876,82.6,9.6,32045
0.873,83.1,10.1,33030
0.87,78.6,12.3,26660
0.865,80.9,10.3,24524
0.861,76.8,12.5,25214
0.856,78.8,8.8,72570
0.85,80.2,11.6,28633
0.85,78.2,9.1,123124
0.845,81.3,9.6,43978
0.844,76.3,12.2,25845
0.843,77.4,11.8,23177
0.839,73.3,12.4,24500
0.839,80.6,10.3,27930
0.837,74.3,8.7,52821
0.836,76.3,9.8,22050
0.835,77,9.5,60868
0.832,81.7,9.8,21290
0.83,80.9,8.2,25757
0.828,75.2,11.6,22916
0.824,76.6,9.4,38599
0.819,74.2,11.5,22281
0.818,77.3,11,19409
0.816,74.4,7.2,83961
0.802,76.2,11.2,14558
0.798,71.3,12,16676
0.798,70.1,12,22352
0.793,76.8,8,34858
0.793,74.7,10.8,18108
0.793,77.2,8.5,19283
0.79,75.4,10.9,21336
0.788,69.4,11.4,20867
0.785,75.6,10.5,12488
0.783,76.1,9.2,20070
0.782,74.2,10.6,15596
0.78,72.7,12.3,13496
0.78,77.6,9.3,18192
0.779,74.7,10,22762
0.777,74.4,8.5,17470
0.772,73.1,9.4,23300
0.772,70.4,10.9,26090
0.771,74.9,10.5,12190
0.769,79.4,11.5,7301
0.769,79.3,7.9,16509
0.766,79.4,8.4,13413
0.766,75.4,8.2,15440
0.762,74.2,8.9,16159
0.761,75.3,7.6,18677
0.757,74.9,10.8,9779
0.756,76.8,8.5,16056
0.755,74.5,7.7,15175
0.754,74.9,12.1,7164
0.752,73.8,8.4,20805
0.751,70.8,11.2,16428
0.75,73.4,8.6,10939
0.748,74,9.9,11365
0.747,75.4,9.3,11780
0.747,71,11.3,8178
0.736,74.8,7.6,13054
0.734,74.6,9,11015
0.733,77.8,9.3,9943
0.733,74.7,10.9,8124
0.733,76.5,8.3,9638
0.732,75.9,7.6,10605
0.729,75.1,9.3,9765
0.727,75.8,7.5,12547
0.727,70,9.9,7493
0.727,69.4,9.3,10729
0.726,74.4,7.3,13323
0.724,77.8,7.9,9994
0.724,71.6,7.3,14911
0.721,74.8,6.8,10404
0.72,74,7.3,12040
0.72,72.9,8.6,9937
0.719,75.7,9.7,7415
0.717,72.8,10.7,5069
0.715,70,10.5,7614
0.715,73.5,7.6,11883
0.714,71.1,7.7,15617
0.706,76.8,5.8,12328
0.702,73.4,10.3,5327
0.698,64.5,8.9,16646
0.693,71.6,11.2,5223
0.69,71.1,6.6,10512
0.688,65.6,9.9,13066
0.684,64.4,7.8,16367
0.684,68.9,7.6,9788
0.679,72.9,7.7,7643
0.677,72.9,8.9,4699
0.675,68.4,10.9,5567
0.668,68.2,8.9,7915
0.666,73,6.5,7349
0.666,57.4,9.9,12122
0.666,75.8,7.5,5092
0.662,68.3,8.2,5760
0.655,70.6,10.6,3044
0.654,69.4,6.4,14003
0.646,73.3,4.7,6094
0.64,69.1,9.7,3432
0.636,66.4,8.5,6522
0.631,74.9,6,4457
0.628,74,4.4,6850
0.628,64.8,6.2,9418
0.627,71.8,5.6,6929
